Design_id|Locarno_class
624023|05-04
624024|05-04
624025|05-04
624029|06-01
624030|06-01
624031|06-01
624032|06-01
624033|06-01
624034|06-01
624035|06-01
624036|06-01
624037|06-01
624038|06-01
624039|06-01
624040|06-01
624041|06-01
624130|18-04
624131|09-01
624159|07-07
624190|31-00
624204|04-01
624205|15-09
624206|15-09
624230|15-09
624291|08-07
624292|08-07
624293|08-07
624294|08-07
624295|08-07
624296|08-07
624297|08-07
624298|08-07
624299|08-07
624307|14-03
624308|14-03
624309|14-03
624335|32-00
624336|32-00
624341|25-02
624342|25-02
624343|25-02
624344|25-02
624345|25-02
624346|12-11
624347|12-11
624348|12-11
624349|19-08
624350|19-08
624351|19-08
624352|19-08
624353|19-08
624354|19-08
624355|19-08
624356|19-08
624357|19-08
624358|12-08
624359|19-08
624360|19-08
624361|19-08
624362|19-08
624363|19-08
624364|19-08
624365|19-08
624366|19-08
624367|19-08
624368|19-08
624369|19-08
624370|19-08
624371|19-08
624372|19-08
624376|08-05
624479|08-01
624481|14-02
624482|14-02
624483|14-04
624484|14-04
624485|14-04
624486|14-04
624487|14-04
624488|14-04
624489|14-04
624490|14-04
624491|14-04
624492|14-04
624493|14-04
624494|14-04
624495|14-04
624496|14-04
624497|14-04
624498|14-04
624499|14-04
624500|14-04
624501|14-04
624502|14-04
624503|14-04
624504|14-04
624505|14-04
624506|14-04
624507|14-04
624508|14-04
624509|14-04
624510|14-04
624511|14-04
624512|14-04
624513|14-04
624514|14-04
624515|14-04
624516|14-04
624517|14-04
624518|14-04
624519|14-04
624520|14-04
624521|14-04
624522|14-04
624523|14-04
624524|14-04
624525|14-04
624526|14-04
624527|14-04
624528|14-04
624529|14-04
624530|14-04
624531|14-04
624532|14-04
624533|14-04
624534|14-04
624535|14-04
624542|09-03
624592|07-02
624596|24-02
624700|12-16
624701|12-16
624702|12-16
624703|12-16
624704|08-06
624705|08-06
624706|08-06
624711|14-01
624713|14-02
624714|14-02
624715|14-02
624716|14-02
624717|14-02
624718|14-02
624719|14-02
624720|14-02
624723|14-02
624724|14-02
624725|14-02
624729|19-02
624731|14-01
624732|14-03
624733|14-03
624734|14-02
624735|14-02
624736|14-02
624743|21-01
624744|21-01
624745|21-01
624746|21-01
624747|21-01
624748|21-01
624749|21-01
624750|21-01
624751|21-01
624752|21-01
624753|21-01
624754|21-01
624755|21-01
624756|21-01
624757|21-01
624758|21-01
624759|21-01
624760|21-01
624761|21-01
624762|21-01
624763|21-01
624764|21-01
624765|21-01
624766|21-01
624767|21-01
624770|08-08
624771|08-08
624772|08-08
624773|09-07
624774|09-07
624775|07-02
624777|13-02
624807|19-02
624808|08-08
625211|15-99
625212|15-99
625213|09-01
625214|09-01
625215|09-01
625216|09-01
625217|09-01
625223|08-04
625244|14-02
625245|14-02
625246|14-02
625247|14-02
625248|06-04
625248|06-05
625248|06-06
625251|13-03
625252|12-11
625254|02-07
625255|12-15
625256|12-15
625282|15-05
625283|15-05
625284|15-05
625285|15-05
625286|15-05
625287|15-05
625288|15-05
625289|15-05
625290|15-05
625291|15-05
625292|15-05
625293|15-05
625294|15-05
625295|15-05
625305|15-05
625306|15-05
625307|07-02
625313|13-03
625314|13-03
625315|13-03
625316|13-03
625317|13-03
625318|13-03
625319|13-03
625320|13-03
625321|13-03
625322|13-03
625323|13-03
625394|14-03
625395|14-03
625396|14-03
625424|26-05
625473|14-02
625477|13-03
625482|23-04
625535|28-03
625536|28-03
625546|06-04
625547|06-04
625548|06-04
625549|06-04
625550|13-02
625551|13-02
625552|13-03
625560|09-03
625561|09-03
625568|09-03
